Solver, Instance, Result
Gurobi(comp 1 thread), bnatt400.opb, N/A
Gurobi(heur 1 thread), bnatt400.opb, N/A
LS-PBO-dynamic, bnatt400.opb, N/A
FiberSCIP, bnatt400.opb, 1.0
Gurobi(comp 32 thread), bnatt400.opb, 1.0
Gurobi(heur 32 thread), bnatt400.opb, 1.0
ParLS-PBO, bnatt400.opb, N/A
V1, bnatt400.opb, N/A
V2, bnatt400.opb, N/A
ParLS-PBO(4 thread), bnatt400.opb, N/A
ParLS-PBO(8 thread), bnatt400.opb, N/A
ParLS-PBO(16 thread), bnatt400.opb, N/A
LS-PBO, cap6000.opb, -1542702.0
DeciLS-PBO, cap6000.opb, -1575730.0
PBO-IHS, cap6000.opb, -1575730.0
Hybrid, cap6000.opb, -1575730.0
SCIP, cap6000.opb, -2451377.0
Gurobi(comp 1 thread), cap6000.opb, -2451377.0
Gurobi(heur 1 thread), cap6000.opb, -2451377.0
LS-PBO-dynamic, cap6000.opb, -2451377.0
FiberSCIP, cap6000.opb, -2451377.0
Gurobi(comp 32 thread), cap6000.opb, -2451377.0
Gurobi(heur 32 thread), cap6000.opb, -2451377.0
ParLS-PBO, cap6000.opb, -2451377.0
V1, cap6000.opb, -2451377.0
V2, cap6000.opb, -2451377.0
ParLS-PBO(4 thread), cap6000.opb, -2451377.0
ParLS-PBO(8 thread), cap6000.opb, -2451377.0
ParLS-PBO(16 thread), cap6000.opb, -2451377.0
LS-PBO, cdc7-4-3-2.opb, -284.0
DeciLS-PBO, cdc7-4-3-2.opb, -284.0
PBO-IHS, cdc7-4-3-2.opb, -284.0
Hybrid, cdc7-4-3-2.opb, -284.0
SCIP, cdc7-4-3-2.opb, -284.0
Gurobi(comp 1 thread), cdc7-4-3-2.opb, -284.0
Gurobi(heur 1 thread), cdc7-4-3-2.opb, -284.0
LS-PBO-dynamic, cdc7-4-3-2.opb, -291.0
FiberSCIP, cdc7-4-3-2.opb, -291.0
Gurobi(comp 32 thread), cdc7-4-3-2.opb, -291.0
Gurobi(heur 32 thread), cdc7-4-3-2.opb, -291.0
ParLS-PBO, cdc7-4-3-2.opb, -292.0
V1, cdc7-4-3-2.opb, -292.0
V2, cdc7-4-3-2.opb, -293.0
ParLS-PBO(4 thread), cdc7-4-3-2.opb, -293.0
ParLS-PBO(8 thread), cdc7-4-3-2.opb, -293.0
ParLS-PBO(16 thread), cdc7-4-3-2.opb, -293.0
LS-PBO, chromaticindex1024-7.opb, 4.0
DeciLS-PBO, chromaticindex1024-7.opb, 4.0
PBO-IHS, chromaticindex1024-7.opb, 4.0
Hybrid, chromaticindex1024-7.opb, 4.0
SCIP, chromaticindex1024-7.opb, N/A
Gurobi(comp 1 thread), chromaticindex1024-7.opb, 4.0
Gurobi(heur 1 thread), chromaticindex1024-7.opb, 4.0
LS-PBO-dynamic, chromaticindex1024-7.opb, 4.0
FiberSCIP, chromaticindex1024-7.opb, N/A
Gurobi(comp 32 thread), chromaticindex1024-7.opb, 4.0
Gurobi(heur 32 thread), chromaticindex1024-7.opb, 4.0
